transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20251201_029851,USER_0025,2025-12-01 05:33:55,MERCH_0024,Croma,Others,Donation,249.49,7.46,7.94,23,UPI,Successful,iOS,Suburban,INR,2025-12-01 05:33:55
TXN_20251201_029852,USER_0773,2025-12-01 22:16:50,MERCH_0224,Merchant_0223,Electronics,Sony WH-1000XM5,629.56,15.16,11.26,51,UPI,Successful,Android,Urban,INR,2025-12-01 22:16:50
TXN_20251201_029853,USER_0476,2025-12-01 15:13:24,MERCH_0108,Merchant_0107,Electronics,Boat Airdopes,1005.23,27.0,45.7,63,Wallet Balance,Successful,Android,Urban,INR,2025-12-01 15:13:24
TXN_20251201_029854,USER_0708,2025-12-01 09:33:50,MERCH_0482,Merchant_0481,Entertainment,Book Novel,2099.95,48.26,45.37,206,UPI,Successful,Android,Suburban,INR,2025-12-01 09:33:50
TXN_20251201_029855,USER_0941,2025-12-01 16:09:10,MERCH_0325,Merchant_0324,Food,Ice Cream Tub,5034.97,137.23,174.82,422,UPI,Successful,iOS,Urban,INR,2025-12-01 16:09:10
TXN_20251201_029856,USER_0549,2025-12-01 16:15:54,MERCH_0354,Merchant_0353,Health,Vitamin Supplements,3619.66,55.64,52.71,323,UPI,Successful,Android,Urban,INR,2025-12-01 16:15:54
TXN_20251201_029857,USER_0725,2025-12-01 10:33:59,MERCH_0372,Merchant_0371,Fashion,Ray-Ban Sunglasses,555.95,8.72,0.0,0,Wallet Balance,Failed,Android,Urban,INR,2025-12-01 10:33:59
TXN_20251201_029858,USER_0017,2025-12-01 20:44:46,MERCH_0245,Merchant_0244,Entertainment,Spotify Premium,1246.74,22.9,17.02,101,Wallet Balance,Successful,iOS,Urban,INR,2025-12-01 20:44:46
TXN_20251201_029859,USER_0271,2025-12-01 01:51:25,MERCH_0322,Merchant_0321,Education,Online Course Fee,1951.54,43.08,93.04,155,UPI,Successful,iOS,Urban,INR,2025-12-01 01:51:25
TXN_20251201_029860,USER_0188,2025-12-01 07:12:23,MERCH_0216,Merchant_0215,Entertainment,Book Novel,1391.02,37.66,16.73,90,Debit Card,Successful,Android,Urban,INR,2025-12-01 07:12:23
